*HASH_VALUE	item ID	name	p	description	somgen	twogen	onegen	
_F93BFE01FC38724D	ep2_major_justice_column	Основная часть Колонны Справедливости	Основная часть Колонны Справедливости		Основных частей Колонн Справедливости	Основная части Колонны Справедливости	Основную часть Колонны Справедливости	
_C91907D2BD773DB4	ep2_major_ornament	Основная часть Орнамента	Основная часть Орнамента		Основных частей Орнамента	Основная части Орнамента	Основную часть Орнамента	
_76ECE3AA52EEFAB6	ep2_large_patch_cover	Основная часть Плиты	Основная часть Плиты		Основных частей Плит	Основная части Плит	Основную часть Плиты	
_D12772F5D837E5D0	ep2_major_pedestal	Основная часть Пьедестала	Основная часть Пьедестала		Основных частей Пьедестала	Основная части Пьедесталов	Основную часть Пьедестала	
_1F95629D83FA01FD	ep2_major_statue_part	Основная часть Статуи	Основная часть Статуи		Основных частей Статуи	Основная части Статуи	Основную часть Статуи	
_74A326AA36A443C1	ep2_minor_column	Меньшая часть Колонны	Меньшая часть Колонны		Меньших частей Колонны	Меньших части Колонны	Меньшую часть Колонны	
_F93B0E0DFE78924D	ep2_minor_justice_column	Меньшая часть Колонны Справедливости	Меньшая часть Колонны Справедливости		Меньших частей Колонн Справедливости	Меньших части Колонны Справедливости	Меньшую часть Колонны Справедливости	
_C95927D6BFB75DB4	ep2_minor_ornament	Меньшая часть Орнамента	Меньшая часть Орнамента		Меньших частей Орнамента	Меньших части Орнамента	Меньшую часть Орнамента	
_798A83F9D4F9848D	ep2_small_patch_cover	Меньшая часть Плиты	Меньшая часть Плиты		Меньших частей Плит	Меньших части Плит	Меньшую часть Плиты	
_D16792F5D8B725D0	ep2_minor_pedestal	Меньшая часть Пьедестала	Меньшая часть Пьедестала		Меньших частей Пьедестала	Меньших части Пьедесталов	Меньшую часть Пьедестала	
_2195629D837A4101	ep2_minor_statue_part	Меньшая часть Статуи	Меньшая часть Статуи		Меньших частей Статуи	Меньших части Статуи	Меньшую часть Статуи	
_5A2E534891E3CF49	ep2_small_conglomerate	Малый Чердак	Малые Чердаки		Малых Чердакови	Малых Чердака	Малый Чердак	
_B946D567EE8D669A	ixpca01	Катализатор опыта	Катализаторы опыта	Катализаторы обеспечивают бонус к получаемому опыту. Если активировать катализатор, он будет расходоваться со скоростью, сообразной получаемому опыту и удвоит опыт, который вы получаете. Катализатор может использоваться только в сочетании с навыком, уровень развития которого меньше уровня качества катализатора. Для того, чтобы активировать катализатор, щелкните по его изображению у себя в инвентаре и выберите из меню соответствующую опцию.	Катализаторов опыта	Катализаторы опыта	Катализатор опыта	
_B946D567EE9D669A	ixpca02	Катализатор опыта	Катализаторы опыта	Катализаторы обеспечивают бонус к получаемому опыту. Если активировать катализатор, он будет расходоваться со скоростью, сообразной получаемому опыту и удвоит опыт, который вы получаете. Катализатор может использоваться только в сочетании с навыком, уровень развития которого меньше уровня качества катализатора. Для того, чтобы активировать катализатор, щелкните по его изображению у себя в инвентаре и выберите из меню соответствующую опцию.	Катализаторов опыта	Катализаторы опыта	Катализатор опыта	
_4A56CE942904FC4F	mp_kami_ep2_choice_50	Ресурс камиста-подмастерья	Ресурсы камиста-подмастерья		Ресурсов камиста-подмастерья	Ресурса камиста-подмастерья	Ресурс камиста-подмастерья	
_E30154F7841E225A	mp_kami_ep2_choice_100	Ресурс признанного камиста	Ресурсы признанного камиста		Ресурсов признанного камиста	Ресурса признанного камиста	Ресурс признанного камиста	
_A4B470C76ABE73FC	mp_kami_ep2_choice_150	Ресурс посвященного камиста	Ресурсы посвященного камиста		Ресурсов посвященного камиста	Ресурса посвященного камиста	Ресурс посвященного камиста	
_20CEBCB42C5F8D00	mp_kami_ep2_choice_200	Ресурс камиста-эксперта	Ресурсы камиста-эксперта		Ресурсов камиста-эксперта	Ресурса камиста-эксперта	Ресурс камиста-эксперта	
_2E34964F55DA0038	mp_kami_ep2_choice_250	Ресурс камиста-мастера	Ресурсы камиста-мастера		Ресурсов камиста-мастера	Ресурса камиста-мастера	Ресурс камиста-мастера	
_6E558502EC7CDD32	mp_kami_ep2_excellent_50	Исключительный ресурс камиста-подмастерья	Исключительные ресурсы камиста-подмастерья		Исключительных ресурсов камиста-подмастерья	Исключительных ресурса камиста-подмастерья	Исключительный ресурс камиста-подмастерья	
_62669AA9E4FB29E0	mp_kami_ep2_excellent_100	Исключительный ресурс признанного камиста	Исключительные ресурсы признанного камиста		Исключительных ресурсов признанного камиста	Исключительных ресурса признанного камиста	Исключительный ресурс признанного камиста	
_0AA5DF73CD3A6EAA	mp_kami_ep2_excellent_150	Исключительный ресурс посвященного камиста	Исключительные ресурсы посвященного камиста		Исключительных ресурсов посвященного камиста	Исключительных ресурса посвященного камиста	Исключительный ресурс посвященного камиста	
_46163178C8BBC0AF	mp_kami_ep2_excellent_200	Исключительный ресурс камиста-эксперта	Исключительные ресурсы камиста-эксперта		Исключительных ресурсов камиста-эксперта	Исключительных ресурса камиста-эксперта	Исключительный ресурс камиста-эксперта	
_DBF3D6F46C78DCDE	mp_kami_ep2_excellent_250	Исключительный ресурс камиста-мастера	Исключительные ресурсы камиста-мастера		Исключительных ресурсов камиста-мастера	Исключительных ресурса камиста-мастера	Исключительный ресурс камиста-мастера	
_CAB3B70586031CFA	mp_karavan_ep2_choice_50	Ресурс караванера-подмастерья	Ресурсы караванера-подмастерья		Ресурсов караванера-подмастерья	Ресурса караванера-подмастерья	Ресурс караванера-подмастерья	
_BE7AE521E2E8AA65	mp_karavan_ep2_choice_100	Ресурс признанного караванера	Ресурсы признанного караванера		Ресурсов признанного караванера	Ресурса признанного караванера	Ресурс признанного караванера	
_E62841A7D71F1B1E	mp_karavan_ep2_choice_150	Ресурс посвященного караванера	Ресурсы посвященного караванера		Ресурсов посвященного караванера	Ресурса посвященного караванера	Ресурс посвященного караванера	
_C52A2DAA19EF4527	mp_karavan_ep2_choice_200	Ресурс караванера-эксперта	Ресурсы караванера-эксперта		Ресурсов караванера-эксперта	Ресурса караванера-эксперта	Ресурс караванера-эксперта	
_31136B66F1D2E612	mp_karavan_ep2_choice_250	Ресурс караванера-мастера	Ресурсы караванера-мастера		Ресурсов караванера-мастера	Ресурса караванера-мастера	Ресурс караванера-мастера	
_B0D1E9B0340AD61B	mp_karavan_ep2_excellent_50	Исключительный ресурс караванера-подмастерья	Исключительные ресурсы караванера-подмастерья		Исключительных ресурсов караванера-подмастерья	Исключительных ресурса караванера-подмастерья	Исключительный ресурс караванера-подмастерья	
_A94757E98B1524D8	mp_karavan_ep2_excellent_100	Исключительный ресурс признанного караванера	Исключительные ресурсы признанного караванера		Исключительных ресурсов признанного караванера	Исключительных ресурса признанного караванера	Исключительный ресурс признанного караванера	
_0BC32505BB1F502F	mp_karavan_ep2_excellent_150	Исключительный ресурс посвященного караванера	Исключительные ресурсы посвященного караванера		Исключительных ресурсов посвященного караванера	Исключительных ресурса посвященного караванера	Исключительный ресурс посвященного караванера	
_CC141990FDD7902A	mp_karavan_ep2_excellent_200	Исключительный ресурс караванера-эксперта	Исключительные ресурсы караванера-эксперта		Исключительных ресурсов караванера-эксперта	Исключительных ресурса караванера-эксперта	Исключительный ресурс караванера-эксперта	
_4A8888E8FBA49B57	mp_karavan_ep2_excellent_250	Исключительный ресурс караванера-мастера	Исключительные ресурсы караванера-мастера		Исключительных ресурсов караванера-мастера	Исключительных ресурса караванера-мастера	Исключительный ресурс караванера-мастера	
_0C7D823B769D1769	ikaracp_ep2_1	Одеяние караванера	Одеяния караванера		Одеяний караванера	Одеяния караванера	Одеяний караванера	
_0C7D823B769D176A	ikaracp_ep2_2	Одеяние караванера	Одеяния караванера		Одеяний караванера	Одеяния караванера	Одеяний караванера	
_0C7D823B769D176B	ikaracp_ep2_3	Одеяние караванера	Одеяния караванера		Одеяний караванера	Одеяния караванера	Одеяний караванера	
_B0C635D557B12EF9	ikamacp_ep2_1	Одеяние камиста	Одеяния камиста		Одеяний камиста	Одеяния камиста	Одеяний камиста	
_B0C635D557B12EFA	ikamacp_ep2_2	Одеяние камиста	Одеяния камиста		Одеяний камиста	Одеяния камиста	Одеяний камиста	
_B0C635D557B12EFB	ikamacp_ep2_3	Одеяние камиста	Одеяния камиста		Одеяний камиста	Одеяния камиста	Одеяний камиста	
_8B7BA7F379203325	ickamss_ep2_1	Щит камиста	Щиты камиста		Щитов камиста	Щита камиста	Щит камиста	
_8B7BA7F379203326	ickamss_ep2_2	Щит камиста	Щиты камиста		Щитов камиста	Щита камиста	Щит камиста	
_8B7BA7F379203327	ickamss_ep2_3	Щит камиста	Щиты камиста		Щитов камиста	Щита камиста	Щит камиста	
_A625A435D1E22B4C	ickarss_ep2_1	Щит караванера	Щиты караванера		Щитов караванера	Щита караванера	Щит караванера	
_A625A435D1E22B4D	ickarss_ep2_2	Щит караванера	Щиты караванера		Щитов караванера	Щита караванера	Щит караванера	
_A625A435D1E22B4E	ickarss_ep2_3	Щит караванера	Щиты караванера		Щитов караванера	Щита караванера	Щит караванера	
_486B8F105E0B543E	itforagekam_ep2_1	Кирка камиста	Кирков камиста		Кирок камиста	Кирки камиста	Кирку камиста	
_486B8F115E0B543E	itforagekam_ep2_2	Кирка камиста	Кирков камиста		Кирок камиста	Кирки камиста	Кирку камиста	
_486B8F125E0B543E	itforagekam_ep2_3	Кирка камиста	Кирков камиста		Кирок камиста	Кирки камиста	Кирку камиста	
_5FE2906F3CAED478	itforagekar_ep2_1	Кирка караванера	Кирков караванера		Кирок караванера	Кирки караванера	Кирку караванера	
_5FE290703CAED478	itforagekar_ep2_2	Кирка караванера	Кирков караванера		Кирок караванера	Кирки караванера	Кирку караванера	
_5FE290713CAED478	itforagekar_ep2_3	Кирка караванера	Кирков караванера		Кирок караванера	Кирки караванера	Кирку караванера	
_3407F40DF2F658CC	icfahb_leader01	Ботинки Дэкстона	Ботинки Дэкстона		Ботинок Дэкстона	Ботинок Дэкстона	Ботинки Дэкстона	
_841CCF3E6143CB5B	icfahp_leader01	Поножи Дэкстона	Поножи Дэкстона		Поножей Дэкстона	Поножей Дэкстона	Поножи Дэкстона	
_14AFEB231EB2AAA7	icfahs_leader01	Наручи Дэкстона	Наручи Дэкстона		Наручей Дэкстона	Наручей Дэкстона	Наручи Дэкстона	
_2EBC623623188E53	icfahv_leader01	Нагрудник Дэкстона	Нагрудники Дэкстона		Нагрудников Дэкстона	Нагрудника Дэкстона	Нагрудник Дэкстона	
_AF77942FE32A2588	icmahb_leader01	Ботинки Ирканиса	Ботинки Ирканиса		Ботинок Ирканиса	Ботинок Ирканиса	Ботинки Ирканиса	
_9002BB052182574A	icmahp_leader01	Поножи Ирканиса	Поножи Ирканиса		Поножей Ирканиса	Поножей Ирканиса	Поножи Ирканиса	
_1391E813AD6EA68A	icmahs_leader01	Наручи Ирканиса	Наручи Ирканиса		Наручей Ирканиса	Наручей Ирканиса	Наручи Ирканиса	
_1C0C625EAB945A86	icmahv_leader01	Нагрудник Ирканиса	Нагрудники Ирканиса		Нагрудников Ирканиса	Нагрудника Ирканиса	Нагрудник Ирканиса	
_E8568D2E70E93680	ictamb_leader01	Ботинки Стилла Вайлера	Ботинки Стилла Вайлера		Ботинок Стилла Вайлера	Ботинок Стилла Вайлера	Ботинки Стилла Вайлера	
_CCB57967D3102089	ictamp_leader01	Поножи Стилла Вайлера	Поножи Стилла Вайлера		Поножей Стилла Вайлера	Поножей Стилла Вайлера	Поножи Стилла Вайлера	
_E2117B9A37D9388B	ictams_leader01	Наручи Стилла Вайлера	Наручи Стилла Вайлера		Наручей Стилла Вайлера	Наручей Стилла Вайлера	Наручи Стилла Вайлера	
_15FAD4706BB74E19	ictamv_leader01	Нагрудник Стилла Вайлера	Нагрудники Стилла Вайлера		Нагрудников Стилла Вайлера	Нагрудника Стилла Вайлера	Нагрудник Стилла Вайлера	
_FA54A01A254281EA	iczacb_leader01	Ботинки Мабреки	Ботинки Мабреки		Ботинок Мабреки	Ботинок Мабреки	Ботинки Мабреки	
_C7EC13FB6EA376C5	iczacp_leader01	Поножи Мабреки	Поножи Мабреки		Поножей Мабреки	Поножей Мабреки	Поножи Мабреки	
_88B077E76A308A52	iczacs_leader01	Наручи Мабреки	Наручи Мабреки		Наручей Мабреки	Наручей Мабреки	Наручи Мабреки	
_F1AF242166D57D76	iczacv_leader01	Нагрудник Мабреки	Нагрудники Мабреки		Нагрудников Мабреки	Нагрудника Мабреки	Нагрудник Мабреки	
_5EF8BEE5BBF1D311	fy_weapon_leader_dexton	Длинный меч Дэкстона	Длинные мечи Дэкстона		Длинных мечей Дэкстона	Длинных меча Дэкстона	Длинный меч Дэкстона	
_120D3D7CCBE593D5	ma_weapon_leader_yrkanis	Пика Ирканиса	Пиков Ирканиса		Пик Ирканиса	Пики Ирканиса	Пику Ирканиса	
_F139B14ECE8B4E73	tr_weapon_leader_still_wyler	Пика Стилла Вайлера	Пиков Стилла Вайлера		Пик Стилла Вайлера	Пики Стилла Вайлера	Пику Стилла Вайлера	
_67666051CB3B70C5	zo_weapon_leader_mabreka	Палица Мабреки	Палицы Мабреки		Палиц Мабреки	Палицы Мабреки	Палицу Мабреки	
_82EF8C138F8B7B35	fy_leader_01	Прическа Дэкстона 	Прическов Дэкстона 		Причесок Дэкстона 	Прическа Дэкстона 	Прическу Дэкстона 	
_7E0D5C762BC3A329	ma_leader_01	Прическа Ирканиса	Прическов Ирканиса		Причесок Ирканиса	Прическа Ирканиса	Прическу Ирканиса	
_1AF10491FF318806	tr_leader_01	Прическа Стилла Вайлера	Прическов Стилла Вайлера		Причесок Стилла Вайлера	Прическа Стилла Вайлера	Прическу Стилла Вайлера	
_C07FC8F7A1DA1FBA	zo_leader_01	Прическа Мабреки	Прическов Мабреки		Причесок Мабреки	Прическа Мабреки	Прическу Мабреки	
_5B9D31D5996D12D1	icfja_2	Файросский ножной браслет среднего качества	Файросские ножные браслеты среднего качества		Файросских ножных браслетов среднего качества	Файросских ножных браслета среднего качества	Файросский ножной браслет среднего качества	
_459769A179415487	icfjb_2	Файросский браслет среднего качества	Файросские браслеты среднего качества		Файросских браслетов среднего качества	Файросских браслета среднего качества	Файросский браслет среднего качества	
_A0587AA3EE12F010	icfjd_2	Файросская диадема среднего качества	Файросские диадемы среднего качества		Файросских диадемы среднего качества	Файросских диадемы среднего качества	Файросскую диадему среднего качества	
_DBE258B127D095BE	icfje_2	Файросская серьга среднего качества	Файросские серьги среднего качества		Файросских серег среднего качества	Файросских серьги среднего качества	Файросскую серьгу среднего качества	
_BA3E98912A2EB5BA	icfjp_2	Файросский кулон среднего качества	Файросские кулоны среднего качества		Файросских кулонов среднего качества	Файросских кулона среднего качества	Файросский кулон среднего качества	
_ECFBFFC18CA2F346	icfjr_2	Файросское кольцо среднего качества	Файросские кольца среднего качества		Файросских кольца среднего качества	Файросских кольца среднего качества	Файросское кольцо среднего качества	
_557D19D793DDFAD3	icmja_2	Матисский ножной браслет среднего качества	Матисские ножные браслеты среднего качества		Матисских ножных браслетов среднего качества	Матисских ножных браслета среднего качества	Матисский ножной браслет среднего качества	
_BE9709A879413C89	icmjb_2	Матисский браслет среднего качества	Матисские браслеты среднего качества		Матисских браслетов среднего качества	Матисских браслета среднего качества	Матисский браслет среднего качества	
_1F882292B012F010	icmjd_2	Матисская диадема среднего качества	Матисские диадемы среднего качества		Матисских диадемы среднего качества	Матисских диадемы среднего качества	Матисскую диадему среднего качества	
_1C72F8B827709DA6	icmje_2	Матисская серьга среднего качества	Матисские серьги среднего качества		Матисских серег среднего качества	Матисских серьги среднего качества	Матисскую серьгу среднего качества	
_3B2DB491A94E55BB	icmjp_2	Матисский кулон среднего качества	Матисские кулоны среднего качества		Матисских кулонов среднего качества	Матисских кулона среднего качества	Матисский кулон среднего качества	
_EC6BFFB58EA02B46	icmjr_2	Матисское кольцо среднего качества	Матисские кольца среднего качества		Матисских кольца среднего качества	Матисских кольца среднего качества	Матисское кольцо среднего качества	
_DB471BCD1CDA650E	ictja_2	Трайкерский ножной браслет среднего качества	Трайкерские ножные браслеты среднего качества		Трайкерских ножных браслетов среднего качества	Трайкерских ножных браслета среднего качества	Трайкерский ножной браслет среднего качества	
_C064A4310FD4542B	ictjb_2	Трайкерский браслет среднего качества	Трайкерские браслеты среднего качества		Трайкерских браслетов среднего качества	Трайкерских браслета среднего качества	Трайкерский браслет среднего качества	
_D4DF06FF0F41345D	ictjd_2	Трайкерская диадема среднего качества	Трайкерские диадемы среднего качества		Трайкерских диадемы среднего качества	Трайкерских диадемы среднего качества	Трайкерскую диадему среднего качества	
_FFA4EEE306DC16D2	ictje_2	Трайкерская серьга среднего качества	Трайкерские серьги среднего качества		Трайкерских серег среднего качества	Трайкерских серьги среднего качества	Трайкерскую серьгу среднего качества	
_723B4A3E56694683	ictjp_2	Трайкерский кулон среднего качества	Трайкерские кулоны среднего качества		Трайкерских кулонов среднего качества	Трайкерских кулона среднего качества	Трайкерский кулон среднего качества	
_54773AD3DB70C334	ictjr_2	Трайкерское кольцо среднего качества	Трайкерские кольца среднего качества		Трайкерских кольца среднего качества	Трайкерских кольца среднего качества	Трайкерское кольцо среднего качества	
_213BFD2D057ACA5D	iczja_2	Зорайский ножной браслет среднего качества	Зорайские ножные браслеты среднего качества		Зорайских ножных браслетов среднего качества	Зорайских ножных браслета среднего качества	Зорайский ножной браслет среднего качества	
_2E1E3141C25D205B	iczjb_2	Зорайский браслет среднего качества	Зорайские браслеты среднего качества		Зорайских браслетов среднего качества	Зорайских браслета среднего качества	Зорайский браслет среднего качества	
_7C3F310DF1CB84E1	iczjd_2	Зорайская диадема среднего качества	Зорайские диадемы среднего качества		Зорайских диадемы среднего качества	Зорайских диадемы среднего качества	Зорайскую диадему среднего качества	
_75E35FEA9BFFF6E8	iczje_2	Зорайская серьга среднего качества	Зорайские серьги среднего качества		Зорайских серег среднего качества	Зорайских серьги среднего качества	Зорайскую серьгу среднего качества	
_B8977C62E7B45E20	iczjp_2	Зорайский кулон среднего качества	Зорайские кулоны среднего качества		Зорайских кулонов среднего качества	Зорайских кулона среднего качества	Зорайский кулон среднего качества	
_D08F38A6A1DC1442	iczjr_2	Зорайское кольцо среднего качества	Зорайские кольца среднего качества		Зорайских кольца среднего качества	Зорайских кольца среднего качества	Зорайское кольцо среднего качества	
_19DF8E385A5F1242	icfja_3	Файросский ножной браслет высокого качества	Файросские ножные браслеты высокого качества		Файросских ножных браслетов высокого качества	Файросских ножных браслета высокого качества	Файросский ножной браслет высокого качества	
_F2691DF084E36B38	icfjb_3	Файросский браслет высокого качества	Файросские браслеты высокого качества		Файросских браслетов высокого качества	Файросских браслета высокого качества	Файросский браслет высокого качества	
_611527A72A25F03B	icfjd_3	Файросская диадема высокого качества	Файросские диадемы высокого качества		Файросских диадемы высокого качества	Файросских диадемы высокого качества	Файросскую диадему высокого качества	
_E6956604E3559844	icfje_3	Файросская серьга высокого качества	Файросские серьги высокого качества		Файросских серег высокого качества	Файросских серьги высокого качества	Файросскую серьгу высокого качества	
_6BA120CA00AB40DF	icfjp_3	Файросский кулон высокого качества	Файросские кулоны высокого качества		Файросских кулонов высокого качества	Файросских кулона высокого качества	Файросский кулон высокого качества	
_72EF8454C13E77DD	icfjr_3	Файросское кольцо высокого качества	Файросские кольца высокого качества		Файросских кольца высокого качества	Файросских кольца высокого качества	Файросское кольцо высокого качества	
_13BF8E38D97F9A4B	icmja_3	Матисский ножной браслет высокого качества	Матисские ножные браслеты высокого качества		Матисских ножных браслетов высокого качества	Матисских ножных браслета высокого качества	Матисский ножной браслет высокого качества	
_F0195DFE84E36B38	icmjb_3	Матисский браслет высокого качества	Матисские браслеты высокого качества		Матисских браслетов высокого качества	Матисских браслета высокого качества	Матисский браслет высокого качества	
_61251791E695F03B	icmjd_3	Матисская диадема высокого качества	Матисские диадемы высокого качества		Матисских диадемы высокого качества	Матисских диадемы высокого качества	Матисскую диадему высокого качества	
_E6A4220BE355983E	icmje_3	Матисская серьга высокого качества	Матисские серьги высокого качества		Матисских серег высокого качества	Матисских серьги высокого качества	Матисскую серьгу высокого качества	
_E6003CCA00AB28DB	icmjp_3	Матисский кулон высокого качества	Матисские кулоны высокого качества		Матисских кулонов высокого качества	Матисских кулона высокого качества	Матисский кулон высокого качества	
_345F844E425D9BC5	icmjr_3	Матисское кольцо высокого качества	Матисские кольца высокого качества		Матисских кольца высокого качества	Матисских кольца высокого качества	Матисское кольцо высокого качества	
_C8DB0795C17AF717	ictja_3	Трайкерский ножной браслет высокого качества	Трайкерские ножные браслеты высокого качества		Трайкерских ножных браслетов высокого качества	Трайкерских ножных браслета высокого качества	Трайкерский ножной браслет высокого качества	
_21C0AD6F356178A2	ictjb_3	Трайкерский браслет высокого качества	Трайкерские браслеты высокого качества		Трайкерских браслетов высокого качества	Трайкерских браслета высокого качества	Трайкерский браслет высокого качества	
_CD0F98F815232F7F	ictjd_3	Трайкерская диадема высокого качества	Трайкерские диадемы высокого качества		Трайкерских диадемы высокого качества	Трайкерских диадемы высокого качества	Трайкерскую диадему высокого качества	
_031770665F7A4D5B	ictje_3	Трайкерская серьга высокого качества	Трайкерские серьги высокого качества		Трайкерских серег высокого качества	Трайкерских серьги высокого качества	Трайкерскую серьгу высокого качества	
_F6317DB407205C4E	ictjp_3	Трайкерский кулон высокого качества	Трайкерские кулоны высокого качества		Трайкерских кулонов высокого качества	Трайкерских кулона высокого качества	Трайкерский кулон высокого качества	
_65C40DC0FB994136	ictjr_3	Трайкерское кольцо высокого качества	Трайкерские кольца высокого качества		Трайкерских кольца высокого качества	Трайкерских кольца высокого качества	Трайкерское кольцо высокого качества	
_CEFB56FA9585290F	iczja_3	Зорайский ножной браслет высокого качества	Зорайские ножные браслеты высокого качества		Зорайских ножных браслетов высокого качества	Зорайских ножных браслета высокого качества	Зорайский ножной браслет высокого качества	
_AA0944D1BC7D3376	iczjb_3	Зорайский браслет высокого качества	Зорайские браслеты высокого качества		Зорайских браслетов высокого качества	Зорайских браслета высокого качества	Зорайский браслет высокого качества	
_0BA1CB83240164E5	iczjd_3	Зорайская диадема высокого качества	Зорайские диадемы высокого качества		Зорайских диадемы высокого качества	Зорайских диадемы высокого качества	Зорайскую диадему высокого качества	
_DC1374F54E79A3A9	iczje_3	Зорайская серьга высокого качества	Зорайские серьги высокого качества		Зорайских серег высокого качества	Зорайских серьги высокого качества	Зорайскую серьгу высокого качества	
_601DE4748BD6D6B7	iczjp_3	Зорайский кулон высокого качества	Зорайские кулоны высокого качества		Зорайских кулонов высокого качества	Зорайских кулона высокого качества	Зорайский кулон высокого качества	
_E4FE1D78722C5FB1	iczjr_3	Зорайское кольцо высокого качества	Зорайские кольца высокого качества		Зорайских кольца высокого качества	Зорайских кольца высокого качества	Зорайское кольцо высокого качества	
_69994A87D3E9AFE6	icokamm1bm_1	Палица Тэкорн-Дук	Палицы Тэкорн-Дук		Палиц Тэкорн-Дук	Палицы Тэкорн-Дук	Палицу Тэкорн-Дук	
_AC1AB4788D87CCCB	icokamm1bs_1	Посох Тэкорн-Дук	Посохи Тэкорн-Дук		Посохов Тэкорн-Дук	Посоха Тэкорн-Дук	Посох Тэкорн-Дук	
_669902955428AFDF	icokamm1pd_1	Кинжал Тэкорн-Дук	Кинжалы Тэкорн-Дук		Кинжалов Тэкорн-Дук	Кинжала Тэкорн-Дук	Кинжал Тэкорн-Дук	
_28995E95CF98AFD5	icokamm1ps_1	Копье Тэкорн-Дук	Копья Тэкорн-Дук		Копий Тэкорн-Дук	Копья Тэкорн-Дук	Копье Тэкорн-Дук	
_6599069811E8AFD6	icokamm1sa_1	Топор Тэкорн-Дук 	Топоры Тэкорн-Дук 		Топоров Тэкорн-Дук 	Топора Тэкорн-Дук 	Топор Тэкорн-Дук 	
_6CF393D8ECBC320C	icokamm1ss_1	Меч Тэкорн-Дук 	Мечи Тэкорн-Дук 		Мечей Тэкорн-Дук 	Меча Тэкорн-Дук 	Меч Тэкорн-Дук 	
_32C76F5274877DA9	icokamm2bm_1	Двуручная палица Тэкорн-Дук 	Двуручные палицы Тэкорн-Дук 		Двуручных палиц Тэкорн-Дук 	Двуручных палицы Тэкорн-Дук 	Двуручную палицу Тэкорн-Дук 	
_04BC21A37476F0AE	icokamm2ms_1	Усилители магии Мага-Дук 	Усилители магии Мага-Дук 		Усилителей магии Мага-Дук 	Усилителя магии Мага-Дук 	Усилители магии Мага-Дук 	
_E919629594C9CFEB	icokamm2pp_1	Пика Тэкорн-Дук 	Пиков Тэкорн-Дук 		Пик Тэкорн-Дук 	Пики Тэкорн-Дук 	Пику Тэкорн-Дук 	
_32C71353B2367DA4	icokamm2sa_1	Двуручный топор Тэкорн-Дук 	Двуручные топоры Тэкорн-Дук 		Двуручных топоров Тэкорн-Дук 	Двуручных топора Тэкорн-Дук 	Двуручный топор Тэкорн-Дук 	
_D468620A871360D0	icokamm2ss_1	Двуручный меч Тэкорн-Дук 	Двуручные мечи Тэкорн-Дук 		Двуручных мечей Тэкорн-Дук 	Двуручных меча Тэкорн-Дук 	Двуручный меч Тэкорн-Дук 	
_A006541C5CAAA1FC	icokamr1b_1	Самострел Тэкорн-Дук	Самострелы Тэкорн-Дук		Самострелов Тэкорн-Дук	Самострела Тэкорн-Дук	Самострел Тэкорн-Дук	
_5686286DEC6DD7CF	icokamr1p_1	Пистолет Тэкорн-Дук	Пистолеты Тэкорн-Дук		Пистолетов Тэкорн-Дук	Пистолета Тэкорн-Дук	Пистолет Тэкорн-Дук	
_D40531AE9C5E9456	icokamr2a_1	Автометатель Тэкорн-Дук	Автометатели Тэкорн-Дук		Автометателей Тэкорн-Дук	Автометателя Тэкорн-Дук	Автометатель Тэкорн-Дук	
_DF15400BFD88B150	icokamr2b_1	Арбалет Тэкорн-Дук	Арбалеты Тэкорн-Дук		Арбалетов Тэкорн-Дук	Арбалета Тэкорн-Дук	Арбалет Тэкорн-Дук	
_DD941429F8C135BE	icokamr2l_1	Метатель Тэкорн-Дук	Метатели Тэкорн-Дук		Метателей Тэкорн-Дук	Метателя Тэкорн-Дук	Метатель Тэкорн-Дук	
_73094F83B6955AB8	icokamr2r_1	Ружье Тэкорн-Дук	Ружья Тэкорн-Дук		Ружей Тэкорн-Дук	Ружья Тэкорн-Дук	Ружье Тэкорн-Дук	
_6AA573DA46F724C6	icokamtammo_1	Инструмент для изготовления зарядов Армило-Дук	Инструменты для изготовления зарядов Армило-Дук		Инструментов для изготовления зарядов Армило-Дук	Инструмента для изготовления заряда Армило-Дук	Инструмент для изготовления зарядов Армило-Дук	
_3CDA102BD423AF2F	icokamtarmor_1	Инструмент для изготовления доспехов Армило-Дук	Инструменты для изготовления доспехов Армило-Дук		Инструментов для изготовления доспехов Армило-Дук	Инструмента для изготовления доспехов Армило-Дук	Инструмент для изготовления доспехов Армило-Дук	
_F927251819F17E69	icokamtjewel_1	Инструмент для изготовления украшений Армило-Дук	Инструменты для изготовления украшений Армило-Дук		Инструментов для изготовления украшений Армило-Дук	Инструмента для изготовления украшений Армило-Дук	Инструмент для изготовления украшений Армило-Дук	
